entity_type,json_payload
StockBatch,"{""id"": 8, ""product_id"": 1, ""supplier_id"": 3, ""cost"": 468.66, ""retail"": 609.25, ""qty"": 113, ""date"": ""2022-03-21T16:12:07"", ""exp"": ""2022-06-19T16:12:07""}"
StockBatch,"{""id"": 2, ""product_id"": 1, ""supplier_id"": 2, ""cost"": 458.06, ""retail"": 595.47, ""qty"": 61, ""date"": ""2022-04-04T10:48:23"", ""exp"": ""2022-07-03T10:48:23""}"
StockBatch,"{""id"": 63, ""product_id"": 5, ""supplier_id"": 1, ""cost"": 1164.74, ""retail"": 1514.17, ""qty"": 93, ""date"": ""2022-04-10T23:45:04"", ""exp"": ""2022-07-09T23:45:04""}"
StockBatch,"{""id"": 21, ""product_id"": 2, ""supplier_id"": 5, ""cost"": 1229.77, ""retail"": 1598.7, ""qty"": 143, ""date"": ""2022-04-15T02:27:50"", ""exp"": ""2022-07-14T02:27:50""}"
StockBatch,"{""id"": 99, ""product_id"": 7, ""supplier_id"": 5, ""cost"": 1483.05, ""retail"": 1927.97, ""qty"": 122, ""date"": ""2022-04-18T00:04:32"", ""exp"": ""2022-07-17T00:04:32""}"
StockBatch,"{""id"": 76, ""product_id"": 6, ""supplier_id"": 3, ""cost"": 394.16, ""retail"": 512.41, ""qty"": 70, ""date"": ""2022-04-23T09:39:53"", ""exp"": ""2022-07-22T09:39:53""}"
StockBatch,"{""id"": 150, ""product_id"": 10, ""supplier_id"": 3, ""cost"": 407.34, ""retail"": 529.55, ""qty"": 156, ""date"": ""2022-05-03T23:42:07"", ""exp"": ""2022-08-01T23:42:07""}"
StockBatch,"{""id"": 122, ""product_id"": 9, ""supplier_id"": 5, ""cost"": 261.21, ""retail"": 339.57, ""qty"": 182, ""date"": ""2022-05-09T04:44:00"", ""exp"": ""2022-08-07T04:44:00""}"
StockBatch,"{""id"": 46, ""product_id"": 4, ""supplier_id"": 3, ""cost"": 155.74, ""retail"": 202.46, ""qty"": 170, ""date"": ""2022-05-09T05:58:32"", ""exp"": ""2022-08-07T05:58:32""}"
StockBatch,"{""id"": 139, ""product_id"": 10, ""supplier_id"": 1, ""cost"": 445.29, ""retail"": 578.88, ""qty"": 121, ""date"": ""2022-05-16T08:39:37"", ""exp"": ""2022-08-14T08:39:37""}"
StockBatch,"{""id"": 74, ""product_id"": 5, ""supplier_id"": 2, ""cost"": 299.31, ""retail"": 389.1, ""qty"": 178, ""date"": ""2022-05-19T19:42:48"", ""exp"": ""2022-08-17T19:42:48""}"
StockBatch,"{""id"": 82, ""product_id"": 6, ""supplier_id"": 1, ""cost"": 412.24, ""retail"": 535.91, ""qty"": 161, ""date"": ""2022-06-15T02:33:01"", ""exp"": ""2022-09-13T02:33:01""}"
StockBatch,"{""id"": 66, ""product_id"": 5, ""supplier_id"": 3, ""cost"": 319.63, ""retail"": 415.52, ""qty"": 165, ""date"": ""2022-06-27T00:51:36"", ""exp"": ""2022-09-25T00:51:36""}"
StockBatch,"{""id"": 145, ""product_id"": 10, ""supplier_id"": 4, ""cost"": 417.98, ""retail"": 543.38, ""qty"": 172, ""date"": ""2022-06-28T03:37:18"", ""exp"": ""2022-09-26T03:37:18""}"
StockBatch,"{""id"": 9, ""product_id"": 1, ""supplier_id"": 2, ""cost"": 458.69, ""retail"": 596.3, ""qty"": 124, ""date"": ""2022-07-07T21:31:44"", ""exp"": ""2022-10-05T21:31:44""}"
StockBatch,"{""id"": 3, ""product_id"": 1, ""supplier_id"": 3, ""cost"": 478.95, ""retail"": 622.64, ""qty"": 67, ""date"": ""2022-07-14T11:32:51"", ""exp"": ""2022-10-12T11:32:51""}"
StockBatch,"{""id"": 94, ""product_id"": 7, ""supplier_id"": 4, ""cost"": 1508.81, ""retail"": 1961.45, ""qty"": 185, ""date"": ""2022-07-24T05:07:49"", ""exp"": ""2022-10-22T05:07:49""}"
StockBatch,"{""id"": 133, ""product_id"": 9, ""supplier_id"": 1, ""cost"": 258.54, ""retail"": 336.11, ""qty"": 88, ""date"": ""2022-07-29T04:35:14"", ""exp"": ""2022-10-27T04:35:14""}"
StockBatch,"{""id"": 147, ""product_id"": 10, ""supplier_id"": 1, ""cost"": 446.37, ""retail"": 580.28, ""qty"": 198, ""date"": ""2022-08-21T07:20:33"", ""exp"": ""2022-11-19T07:20:33""}"
StockBatch,"{""id"": 146, ""product_id"": 10, ""supplier_id"": 3, ""cost"": 431.89, ""retail"": 561.45, ""qty"": 95, ""date"": ""2022-08-25T05:27:14"", ""exp"": ""2022-11-23T05:27:14""}"
StockBatch,"{""id"": 109, ""product_id"": 8, ""supplier_id"": 4, ""cost"": 408.21, ""retail"": 530.68, ""qty"": 95, ""date"": ""2022-08-26T06:21:43"", ""exp"": ""2022-11-24T06:21:43""}"
StockBatch,"{""id"": 38, ""product_id"": 3, ""supplier_id"": 1, ""cost"": 894.45, ""retail"": 1162.78, ""qty"": 118, ""date"": ""2022-08-31T14:09:41"", ""exp"": ""2022-11-29T14:09:41""}"
StockBatch,"{""id"": 148, ""product_id"": 10, ""supplier_id"": 2, ""cost"": 421.59, ""retail"": 548.07, ""qty"": 196, ""date"": ""2022-09-05T19:25:00"", ""exp"": ""2022-12-04T19:25:00""}"
StockBatch,"{""id"": 34, ""product_id"": 3, ""supplier_id"": 2, ""cost"": 850.51, ""retail"": 1105.67, ""qty"": 98, ""date"": ""2022-09-09T12:25:38"", ""exp"": ""2022-12-08T12:25:38""}"
StockBatch,"{""id"": 132, ""product_id"": 9, ""supplier_id"": 1, ""cost"": 252.28, ""retail"": 327.96, ""qty"": 136, ""date"": ""2022-09-20T19:43:25"", ""exp"": ""2022-12-19T19:43:25""}"
StockBatch,"{""id"": 68, ""product_id"": 5, ""supplier_id"": 2, ""cost"": 310.9, ""retail"": 404.17, ""qty"": 134, ""date"": ""2022-09-28T15:22:36"", ""exp"": ""2022-12-27T15:22:36""}"
StockBatch,"{""id"": 83, ""product_id"": 6, ""supplier_id"": 2, ""cost"": 424.12, ""retail"": 551.35, ""qty"": 79, ""date"": ""2022-10-25T13:05:59"", ""exp"": ""2023-01-23T13:05:59""}"
StockBatch,"{""id"": 105, ""product_id"": 7, ""supplier_id"": 3, ""cost"": 1638.14, ""retail"": 2129.58, ""qty"": 181, ""date"": ""2022-11-15T11:06:34"", ""exp"": ""2023-02-13T11:06:34""}"
StockBatch,"{""id"": 69, ""product_id"": 5, ""supplier_id"": 5, ""cost"": 344.09, ""retail"": 447.31, ""qty"": 191, ""date"": ""2022-11-16T18:08:10"", ""exp"": ""2023-02-14T18:08:10""}"
StockBatch,"{""id"": 100, ""product_id"": 7, ""supplier_id"": 5, ""cost"": 1703.17, ""retail"": 2214.12, ""qty"": 113, ""date"": ""2022-12-02T05:31:21"", ""exp"": ""2023-03-02T05:31:21""}"
StockBatch,"{""id"": 13, ""product_id"": 1, ""supplier_id"": 3, ""cost"": 542.0, ""retail"": 704.61, ""qty"": 135, ""date"": ""2022-12-09T12:24:54"", ""exp"": ""2023-03-09T12:24:54""}"
StockBatch,"{""id"": 92, ""product_id"": 7, ""supplier_id"": 2, ""cost"": 1740.98, ""retail"": 2263.27, ""qty"": 91, ""date"": ""2022-12-13T01:56:39"", ""exp"": ""2023-03-13T01:56:39""}"
StockBatch,"{""id"": 49, ""product_id"": 4, ""supplier_id"": 2, ""cost"": 175.22, ""retail"": 227.78, ""qty"": 60, ""date"": ""2022-12-25T19:28:16"", ""exp"": ""2023-03-25T19:28:16""}"
StockBatch,"{""id"": 43, ""product_id"": 3, ""supplier_id"": 3, ""cost"": 887.35, ""retail"": 1153.55, ""qty"": 122, ""date"": ""2023-01-02T06:03:57"", ""exp"": ""2023-04-02T06:03:57""}"
StockBatch,"{""id"": 39, ""product_id"": 3, ""supplier_id"": 3, ""cost"": 854.46, ""retail"": 1110.79, ""qty"": 117, ""date"": ""2023-01-07T21:26:15"", ""exp"": ""2023-04-07T21:26:15""}"
StockBatch,"{""id"": 59, ""product_id"": 4, ""supplier_id"": 1, ""cost"": 163.21, ""retail"": 212.17, ""qty"": 193, ""date"": ""2023-01-29T16:48:43"", ""exp"": ""2023-04-29T16:48:43""}"
StockBatch,"{""id"": 119, ""product_id"": 8, ""supplier_id"": 5, ""cost"": 385.66, ""retail"": 501.36, ""qty"": 119, ""date"": ""2023-01-30T19:12:35"", ""exp"": ""2023-04-30T19:12:35""}"
StockBatch,"{""id"": 65, ""product_id"": 5, ""supplier_id"": 2, ""cost"": 310.8, ""retail"": 404.04, ""qty"": 188, ""date"": ""2023-02-02T19:23:50"", ""exp"": ""2023-05-03T19:23:50""}"
StockBatch,"{""id"": 135, ""product_id"": 9, ""supplier_id"": 4, ""cost"": 256.18, ""retail"": 333.03, ""qty"": 180, ""date"": ""2023-02-12T00:08:12"", ""exp"": ""2023-05-13T00:08:12""}"
StockBatch,"{""id"": 91, ""product_id"": 7, ""supplier_id"": 5, ""cost"": 1642.58, ""retail"": 2135.35, ""qty"": 162, ""date"": ""2023-02-18T12:27:16"", ""exp"": ""2023-05-19T12:27:16""}"
StockBatch,"{""id"": 117, ""product_id"": 8, ""supplier_id"": 1, ""cost"": 387.63, ""retail"": 503.92, ""qty"": 72, ""date"": ""2023-02-21T18:13:56"", ""exp"": ""2023-05-22T18:13:56""}"
StockBatch,"{""id"": 10, ""product_id"": 1, ""supplier_id"": 3, ""cost"": 483.59, ""retail"": 628.66, ""qty"": 124, ""date"": ""2023-02-23T19:17:51"", ""exp"": ""2023-05-24T19:17:51""}"
StockBatch,"{""id"": 60, ""product_id"": 4, ""supplier_id"": 5, ""cost"": 156.24, ""retail"": 203.12, ""qty"": 126, ""date"": ""2023-02-28T06:53:11"", ""exp"": ""2023-05-29T06:53:11""}"
StockBatch,"{""id"": 131, ""product_id"": 9, ""supplier_id"": 5, ""cost"": 270.77, ""retail"": 352.01, ""qty"": 105, ""date"": ""2023-03-03T03:55:37"", ""exp"": ""2023-06-01T03:55:37""}"
StockBatch,"{""id"": 44, ""product_id"": 3, ""supplier_id"": 3, ""cost"": 924.78, ""retail"": 1202.22, ""qty"": 87, ""date"": ""2023-03-11T08:54:25"", ""exp"": ""2023-06-09T08:54:25""}"
StockBatch,"{""id"": 42, ""product_id"": 3, ""supplier_id"": 4, ""cost"": 890.06, ""retail"": 1157.08, ""qty"": 79, ""date"": ""2023-03-19T08:31:05"", ""exp"": ""2023-06-17T08:31:05""}"
StockBatch,"{""id"": 14, ""product_id"": 1, ""supplier_id"": 5, ""cost"": 464.7, ""retail"": 604.11, ""qty"": 71, ""date"": ""2023-03-22T10:54:23"", ""exp"": ""2023-06-20T10:54:23""}"
StockBatch,"{""id"": 15, ""product_id"": 1, ""supplier_id"": 1, ""cost"": 473.1, ""retail"": 615.03, ""qty"": 113, ""date"": ""2023-03-24T07:42:40"", ""exp"": ""2023-06-22T07:42:40""}"
StockBatch,"{""id"": 5, ""product_id"": 1, ""supplier_id"": 5, ""cost"": 492.32, ""retail"": 640.01, ""qty"": 129, ""date"": ""2023-03-29T06:55:07"", ""exp"": ""2023-06-27T06:55:07""}"
StockBatch,"{""id"": 123, ""product_id"": 9, ""supplier_id"": 2, ""cost"": 259.06, ""retail"": 336.77, ""qty"": 110, ""date"": ""2023-04-12T12:49:44"", ""exp"": ""2023-07-11T12:49:44""}"
StockBatch,"{""id"": 106, ""product_id"": 8, ""supplier_id"": 5, ""cost"": 423.98, ""retail"": 551.17, ""qty"": 118, ""date"": ""2023-04-27T13:07:01"", ""exp"": ""2023-07-26T13:07:01""}"
StockBatch,"{""id"": 128, ""product_id"": 9, ""supplier_id"": 5, ""cost"": 266.14, ""retail"": 345.98, ""qty"": 152, ""date"": ""2023-04-29T11:30:15"", ""exp"": ""2023-07-28T11:30:15""}"
StockBatch,"{""id"": 35, ""product_id"": 3, ""supplier_id"": 5, ""cost"": 868.87, ""retail"": 1129.53, ""qty"": 100, ""date"": ""2023-05-17T21:17:56"", ""exp"": ""2023-08-15T21:17:56""}"
StockBatch,"{""id"": 104, ""product_id"": 7, ""supplier_id"": 1, ""cost"": 1553.68, ""retail"": 2019.78, ""qty"": 169, ""date"": ""2023-05-21T09:59:20"", ""exp"": ""2023-08-19T09:59:20""}"
StockBatch,"{""id"": 33, ""product_id"": 3, ""supplier_id"": 2, ""cost"": 877.02, ""retail"": 1140.12, ""qty"": 119, ""date"": ""2023-05-26T17:45:16"", ""exp"": ""2023-08-24T17:45:16""}"
StockBatch,"{""id"": 25, ""product_id"": 2, ""supplier_id"": 5, ""cost"": 1332.27, ""retail"": 1731.96, ""qty"": 102, ""date"": ""2023-05-30T20:19:20"", ""exp"": ""2023-08-28T20:19:20""}"
StockBatch,"{""id"": 27, ""product_id"": 2, ""supplier_id"": 1, ""cost"": 1322.06, ""retail"": 1718.68, ""qty"": 155, ""date"": ""2023-06-13T11:22:32"", ""exp"": ""2023-09-11T11:22:32""}"
StockBatch,"{""id"": 95, ""product_id"": 7, ""supplier_id"": 2, ""cost"": 1615.83, ""retail"": 2100.58, ""qty"": 64, ""date"": ""2023-06-17T05:55:03"", ""exp"": ""2023-09-15T05:55:03""}"
StockBatch,"{""id"": 129, ""product_id"": 9, ""supplier_id"": 2, ""cost"": 268.75, ""retail"": 349.38, ""qty"": 192, ""date"": ""2023-06-20T09:23:36"", ""exp"": ""2023-09-18T09:23:36""}"
StockBatch,"{""id"": 111, ""product_id"": 8, ""supplier_id"": 4, ""cost"": 423.27, ""retail"": 550.25, ""qty"": 125, ""date"": ""2023-06-23T22:46:13"", ""exp"": ""2023-09-21T22:46:13""}"
StockBatch,"{""id"": 84, ""product_id"": 6, ""supplier_id"": 3, ""cost"": 411.5, ""retail"": 534.95, ""qty"": 148, ""date"": ""2023-06-27T12:22:29"", ""exp"": ""2023-09-25T12:22:29""}"
StockBatch,"{""id"": 107, ""product_id"": 8, ""supplier_id"": 2, ""cost"": 406.5, ""retail"": 528.46, ""qty"": 75, ""date"": ""2023-07-04T15:23:17"", ""exp"": ""2023-10-02T15:23:17""}"
StockBatch,"{""id"": 41, ""product_id"": 3, ""supplier_id"": 5, ""cost"": 905.7, ""retail"": 1177.4, ""qty"": 57, ""date"": ""2023-07-07T18:04:46"", ""exp"": ""2023-10-05T18:04:46""}"
StockBatch,"{""id"": 54, ""product_id"": 4, ""supplier_id"": 5, ""cost"": 158.17, ""retail"": 205.62, ""qty"": 63, ""date"": ""2023-08-01T14:49:13"", ""exp"": ""2023-10-30T14:49:13""}"
StockBatch,"{""id"": 51, ""product_id"": 4, ""supplier_id"": 2, ""cost"": 156.69, ""retail"": 203.7, ""qty"": 81, ""date"": ""2023-08-06T14:48:42"", ""exp"": ""2023-11-04T14:48:42""}"
StockBatch,"{""id"": 134, ""product_id"": 9, ""supplier_id"": 1, ""cost"": 263.0, ""retail"": 341.89, ""qty"": 156, ""date"": ""2023-08-08T23:55:13"", ""exp"": ""2023-11-06T23:55:13""}"
StockBatch,"{""id"": 79, ""product_id"": 6, ""supplier_id"": 2, ""cost"": 447.93, ""retail"": 582.3, ""qty"": 145, ""date"": ""2023-08-25T11:56:08"", ""exp"": ""2023-11-23T11:56:08""}"
StockBatch,"{""id"": 29, ""product_id"": 2, ""supplier_id"": 2, ""cost"": 1313.31, ""retail"": 1707.3, ""qty"": 156, ""date"": ""2023-08-26T13:25:38"", ""exp"": ""2023-11-24T13:25:38""}"
StockBatch,"{""id"": 77, ""product_id"": 6, ""supplier_id"": 5, ""cost"": 422.21, ""retail"": 548.87, ""qty"": 142, ""date"": ""2023-08-28T16:51:51"", ""exp"": ""2023-11-26T16:51:51""}"
StockBatch,"{""id"": 86, ""product_id"": 6, ""supplier_id"": 3, ""cost"": 441.16, ""retail"": 573.5, ""qty"": 198, ""date"": ""2023-09-07T23:41:19"", ""exp"": ""2023-12-06T23:41:19""}"
StockBatch,"{""id"": 30, ""product_id"": 2, ""supplier_id"": 4, ""cost"": 1306.91, ""retail"": 1698.98, ""qty"": 57, ""date"": ""2023-09-19T12:00:13"", ""exp"": ""2023-12-18T12:00:13""}"
StockBatch,"{""id"": 61, ""product_id"": 5, ""supplier_id"": 1, ""cost"": 312.21, ""retail"": 405.88, ""qty"": 54, ""date"": ""2023-09-20T14:17:53"", ""exp"": ""2023-12-19T14:17:53""}"
StockBatch,"{""id"": 90, ""product_id"": 6, ""supplier_id"": 5, ""cost"": 452.78, ""retail"": 588.61, ""qty"": 192, ""date"": ""2023-09-21T07:59:27"", ""exp"": ""2023-12-20T07:59:27""}"
StockBatch,"{""id"": 22, ""product_id"": 2, ""supplier_id"": 2, ""cost"": 1357.2, ""retail"": 1764.36, ""qty"": 99, ""date"": ""2023-09-27T11:50:34"", ""exp"": ""2023-12-26T11:50:34""}"
StockBatch,"{""id"": 67, ""product_id"": 5, ""supplier_id"": 2, ""cost"": 324.78, ""retail"": 422.22, ""qty"": 148, ""date"": ""2023-10-03T21:52:53"", ""exp"": ""2024-01-01T21:52:53""}"
StockBatch,"{""id"": 120, ""product_id"": 8, ""supplier_id"": 5, ""cost"": 416.12, ""retail"": 540.96, ""qty"": 195, ""date"": ""2023-10-19T12:21:55"", ""exp"": ""2024-01-17T12:21:55""}"
StockBatch,"{""id"": 16, ""product_id"": 2, ""supplier_id"": 4, ""cost"": 1252.4, ""retail"": 1628.12, ""qty"": 68, ""date"": ""2023-10-23T21:11:07"", ""exp"": ""2024-01-21T21:11:07""}"
StockBatch,"{""id"": 114, ""product_id"": 8, ""supplier_id"": 1, ""cost"": 430.0, ""retail"": 559.0, ""qty"": 145, ""date"": ""2023-10-31T00:53:22"", ""exp"": ""2024-01-29T00:53:22""}"
StockBatch,"{""id"": 149, ""product_id"": 10, ""supplier_id"": 3, ""cost"": 489.34, ""retail"": 636.14, ""qty"": 125, ""date"": ""2023-11-03T12:36:09"", ""exp"": ""2024-02-01T12:36:09""}"
StockBatch,"{""id"": 85, ""product_id"": 6, ""supplier_id"": 4, ""cost"": 482.56, ""retail"": 627.33, ""qty"": 186, ""date"": ""2023-11-09T07:07:59"", ""exp"": ""2024-02-07T07:07:59""}"
StockBatch,"{""id"": 102, ""product_id"": 7, ""supplier_id"": 1, ""cost"": 1765.06, ""retail"": 2294.58, ""qty"": 132, ""date"": ""2023-11-10T01:01:39"", ""exp"": ""2024-02-08T01:01:39""}"
StockBatch,"{""id"": 28, ""product_id"": 2, ""supplier_id"": 4, ""cost"": 1494.76, ""retail"": 1943.19, ""qty"": 156, ""date"": ""2023-11-10T09:51:05"", ""exp"": ""2024-02-08T09:51:05""}"
StockBatch,"{""id"": 112, ""product_id"": 8, ""supplier_id"": 2, ""cost"": 464.67, ""retail"": 604.07, ""qty"": 90, ""date"": ""2023-11-27T03:55:28"", ""exp"": ""2024-02-25T03:55:28""}"
StockBatch,"{""id"": 101, ""product_id"": 7, ""supplier_id"": 1, ""cost"": 1880.13, ""retail"": 2444.17, ""qty"": 174, ""date"": ""2023-12-22T05:04:17"", ""exp"": ""2024-03-21T05:04:17""}"
StockBatch,"{""id"": 7, ""product_id"": 1, ""supplier_id"": 1, ""cost"": 561.2, ""retail"": 729.57, ""qty"": 179, ""date"": ""2023-12-26T18:38:08"", ""exp"": ""2024-03-25T18:38:08""}"
StockBatch,"{""id"": 56, ""product_id"": 4, ""supplier_id"": 3, ""cost"": 179.65, ""retail"": 233.54, ""qty"": 111, ""date"": ""2023-12-31T22:06:40"", ""exp"": ""2024-03-30T22:06:40""}"
StockBatch,"{""id"": 45, ""product_id"": 3, ""supplier_id"": 3, ""cost"": 964.19, ""retail"": 1253.44, ""qty"": 70, ""date"": ""2024-01-11T09:50:42"", ""exp"": ""2024-04-10T09:50:42""}"
StockBatch,"{""id"": 140, ""product_id"": 10, ""supplier_id"": 2, ""cost"": 439.77, ""retail"": 571.7, ""qty"": 86, ""date"": ""2024-01-16T12:54:03"", ""exp"": ""2024-04-15T12:54:03""}"
StockBatch,"{""id"": 57, ""product_id"": 4, ""supplier_id"": 1, ""cost"": 160.25, ""retail"": 208.33, ""qty"": 72, ""date"": ""2024-01-23T16:46:39"", ""exp"": ""2024-04-22T16:46:39""}"
StockBatch,"{""id"": 103, ""product_id"": 7, ""supplier_id"": 5, ""cost"": 1599.65, ""retail"": 2079.54, ""qty"": 53, ""date"": ""2024-01-29T15:17:09"", ""exp"": ""2024-04-28T15:17:09""}"
StockBatch,"{""id"": 19, ""product_id"": 2, ""supplier_id"": 2, ""cost"": 1316.61, ""retail"": 1711.59, ""qty"": 139, ""date"": ""2024-02-03T14:32:13"", ""exp"": ""2024-05-03T14:32:13""}"
StockBatch,"{""id"": 71, ""product_id"": 5, ""supplier_id"": 1, ""cost"": 329.64, ""retail"": 428.53, ""qty"": 163, ""date"": ""2024-02-13T09:55:27"", ""exp"": ""2024-05-13T09:55:27""}"
StockBatch,"{""id"": 62, ""product_id"": 5, ""supplier_id"": 5, ""cost"": 346.39, ""retail"": 450.3, ""qty"": 167, ""date"": ""2024-03-13T22:04:26"", ""exp"": ""2024-06-11T22:04:26""}"
StockBatch,"{""id"": 37, ""product_id"": 3, ""supplier_id"": 5, ""cost"": 958.75, ""retail"": 1246.38, ""qty"": 129, ""date"": ""2024-03-15T09:18:11"", ""exp"": ""2024-06-13T09:18:11""}"
StockBatch,"{""id"": 75, ""product_id"": 5, ""supplier_id"": 2, ""cost"": 326.53, ""retail"": 424.48, ""qty"": 98, ""date"": ""2024-03-28T13:02:09"", ""exp"": ""2024-06-26T13:02:09""}"
StockBatch,"{""id"": 80, ""product_id"": 6, ""supplier_id"": 4, ""cost"": 444.22, ""retail"": 577.49, ""qty"": 158, ""date"": ""2024-04-12T17:58:31"", ""exp"": ""2024-07-11T17:58:31""}"
StockBatch,"{""id"": 142, ""product_id"": 10, ""supplier_id"": 2, ""cost"": 471.31, ""retail"": 612.7, ""qty"": 161, ""date"": ""2024-04-23T12:47:47"", ""exp"": ""2024-07-22T12:47:47""}"
StockBatch,"{""id"": 116, ""product_id"": 8, ""supplier_id"": 3, ""cost"": 1169.71, ""retail"": 1520.62, ""qty"": 126, ""date"": ""2024-05-02T00:51:07"", ""exp"": ""2024-07-31T00:51:07""}"
StockBatch,"{""id"": 18, ""product_id"": 2, ""supplier_id"": 2, ""cost"": 1341.93, ""retail"": 1744.51, ""qty"": 68, ""date"": ""2024-05-03T02:40:05"", ""exp"": ""2024-08-01T02:40:05""}"
StockBatch,"{""id"": 113, ""product_id"": 8, ""supplier_id"": 5, ""cost"": 442.68, ""retail"": 575.48, ""qty"": 64, ""date"": ""2024-05-18T20:17:48"", ""exp"": ""2024-08-16T20:17:48""}"
StockBatch,"{""id"": 48, ""product_id"": 4, ""supplier_id"": 2, ""cost"": 175.43, ""retail"": 228.05, ""qty"": 133, ""date"": ""2024-06-01T19:34:59"", ""exp"": ""2024-08-30T19:34:59""}"
StockBatch,"{""id"": 78, ""product_id"": 6, ""supplier_id"": 1, ""cost"": 451.34, ""retail"": 586.75, ""qty"": 199, ""date"": ""2024-06-06T19:06:31"", ""exp"": ""2024-09-04T19:06:31""}"
StockBatch,"{""id"": 98, ""product_id"": 7, ""supplier_id"": 4, ""cost"": 1706.63, ""retail"": 2218.61, ""qty"": 67, ""date"": ""2024-06-06T23:04:29"", ""exp"": ""2024-09-04T23:04:29""}"
StockBatch,"{""id"": 127, ""product_id"": 9, ""supplier_id"": 3, ""cost"": 289.49, ""retail"": 376.34, ""qty"": 160, ""date"": ""2024-06-08T15:20:36"", ""exp"": ""2024-09-06T15:20:36""}"
StockBatch,"{""id"": 72, ""product_id"": 5, ""supplier_id"": 3, ""cost"": 322.94, ""retail"": 419.82, ""qty"": 154, ""date"": ""2024-06-21T06:50:36"", ""exp"": ""2024-09-19T06:50:36""}"
